iter	Passed	Remaining
0	1	100
1	1	81
2	2	71
3	2	63
4	3	61
5	3	59
6	4	58
7	4	57
8	5	56
9	6	54
10	6	53
11	7	53
12	7	52
13	8	53
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	54	5
91	54	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
